subject activity tBodyAccMeanX tBodyAccMeanY tBodyAccMeanZ tBodyAccStdX tBodyAccStdY tBodyAccStdZ tGravityAccMeanX tGravityAccMeanY tGravityAccMeanZ tGravityAccStdX tGravityAccStdY tGravityAccStdZ tBodyAccJerkMeanX tBodyAccJerkMeanY tBodyAccJerkMeanZ tBodyAccJerkStdX tBodyAccJerkStdY tBodyAccJerkStdZ tBodyGyroMeanX tBodyGyroMeanY tBodyGyroMeanZ tBodyGyroStdX tBodyGyroStdY tBodyGyroStdZ tBodyGyroJerkMeanX tBodyGyroJerkMeanY tBodyGyroJerkMeanZ tBodyGyroJerkStdX tBodyGyroJerkStdY tBodyGyroJerkStdZ tBodyAccMagMean tBodyAccMagStd tGravityAccMagMean tGravityAccMagStd tBodyAccJerkMagMean tBodyAccJerkMagStd tBodyGyroMagMean tBodyGyroMagStd tBodyGyroJerkMagMean tBodyGyroJerkMagStd fBodyAccMeanX fBodyAccMeanY fBodyAccMeanZ fBodyAccStdX fBodyAccStdY fBodyAccStdZ fBodyAccMeanFreqX fBodyAccMeanFreqY fBodyAccMeanFreqZ fBodyAccJerkMeanX fBodyAccJerkMeanY fBodyAccJerkMeanZ fBodyAccJerkStdX fBodyAccJerkStdY fBodyAccJerkStdZ fBodyAccJerkMeanFreqX fBodyAccJerkMeanFreqY fBodyAccJerkMeanFreqZ fBodyGyroMeanX fBodyGyroMeanY fBodyGyroMeanZ fBodyGyroStdX fBodyGyroStdY fBodyGyroStdZ fBodyGyroMeanFreqX fBodyGyroMeanFreqY fBodyGyroMeanFreqZ fBodyAccMagMean fBodyAccMagStd fBodyAccMagMeanFreq fBodyBodyAccJerkMagMean fBodyBodyAccJerkMagStd fBodyBodyAccJerkMagMeanFreq fBodyBodyGyroMagMean fBodyBodyGyroMagStd fBodyBodyGyroMagMeanFreq fBodyBodyGyroJerkMagMean fBodyBodyGyroJerkMagStd fBodyBodyGyroJerkMagMeanFreq NA
1 WALKING 0.277330758736842 -0.0173838185273684 -0.111148103547368 -0.283740258842105 0.114461336747368 -0.260027902210526 -0.340699021263158 0.0618110802884211 -0.2501253216 -0.103124690251158 -0.055729884396 -0.255287708568421 0.119648414553684 -0.0212204448494737 0.437405228105263 -0.125750238755789 -0.73948375368421 -0.758210962947368 -0.747708346105263 -0.424301445368421 -0.299358486210526 -0.252466470458947 0.358565592315789 0.437234196526316 0.0423675045611579 -0.334959369631579 0.348408026326105 -0.149185121450526 0.0799407763368421 -0.167359936813684 0.174964719959684 0.167755468465263 -0.0514467759389474 -0.118901200445263 0.167263728694316 0.00262120183757895 -0.275173843664105 -0.143721904240568 -0.191228477152632 0.380201211578947 0.935223201473684 -0.282165021263158 -0.068102864 -0.976609642526316 -0.971305961473684 -0.947717226105263 -0.976947355052632 -0.971701304631579 -0.949656491052632 0.868920798947368 -0.293611496842105 -0.0628860656842105 0.947006739157895 -0.260094338736842 -0.0784940174105263 -0.141761466323684 0.825961054526316 -0.863780189157895 -0.985550295789474 -0.977571179894737 -0.972578888315789 -0.954925938315789 -0.666553065978947 -1 -0.992509253368421 -0.298046152968421 0.382823886736842 -0.464401395684211 0.542635273052632 0.0308226031347368 0.0225500006989474 -0.147268381928421 0.295757009010526 -0.250876315288421 0.274929707621053 -0.296802273938947 0.314136444565263 0.321422887684211 -0.0400833257557895 0.281260329237895
1 WALKING_UPSTAIRS 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.423642838474576 -0.0780912533118644 -0.425257524915254 -0.460983072033898 -0.120172928300508 -0.410145294237288 -0.268557946491525 -0.11402759334678 -0.376478510508475 0.34872297440678 0.051569523229661 0.527792218813559 -0.289223664576271 -0.830698671186441 -0.83328023440678 -0.846830008644068 -0.54042174779661 -0.392230918813559 -0.408763002542373 0.346780219322034 0.38487648120339 0.151969087845763 -0.245924085925424 0.303195506700678 -0.210438884196949 0.105832245038983 -0.170066954830508 0.28822188661017 -0.0588494089322034 0.00732521059067797 -0.17069226760678 0.212181968852542 -0.0552753238779661 -0.112078514561017 -0.264019276711864 -0.0251069135101695 0.368582476440678 0.91301733338983 -0.34660709 0.0847270871186441 -0.972693201355932 -0.972116879661017 -0.972072847627119 -0.973123471694915 -0.972411930847458 -0.972923131186441 0.848431402881356 -0.356341643050847 0.0819139581016949 0.924184268983051 -0.322984228474576 0.0804782855932203 0.00459046757627119 0.76883742220339 -0.791632866101695 -0.980049533898305 -0.973972477966102 -0.973744440169492 -0.975868435423729 -0.420668067966102 -1 -0.432806084220339 -0.399804294050847 0.46546458440678 -0.529027973559322 0.590435445423729 0.0620890544576271 -0.046941288179661 -0.0392011563355932 0.150537117615254 -0.323322676389831 0.373280612711864 -0.421718000067797 0.465972588135593 0.3296419987 -0.241298144779661 -0.0658090309491525
1 WALKING_DOWNSTAIRS 0.275567462068966 -0.0171767844203448 -0.112674859827586 -0.360356726034483 -0.0699140652103448 -0.387411994310345 -0.409075189482759 -0.0873748121241379 -0.392182467413793 -0.0549736850689655 -0.0993467303965517 -0.486518498448276 0.318428437758621 0.0224598193775862 0.370395080172414 -0.245384124482759 -0.790377061896552 -0.830352159827586 -0.826168522413793 -0.519862183793103 -0.293566317586207 -0.422365772068966 0.249391492775862 0.326226629310345 0.189850783148276 -0.319573395465517 0.267903748034483 -0.0214395103275862 -0.0269880285965517 -0.135311724415517 0.178072640022414 0.181518108865517 -0.271749738998276 -0.259770312327586 0.272779300637931 0.0369727533 -0.283072039448276 -0.210617311913793 -0.3000793945 0.43910710362069 0.936506743275862 -0.261986357931034 -0.138107866258621 -0.97777159137931 -0.962355639482759 -0.952091795 -0.978270181551724 -0.962366609310345 -0.953759198965517 0.86981281362069 -0.271175036896552 -0.133766800758621 0.948792464310345 -0.241903841551724 -0.147167968448276 -0.00735856507137931 0.829169454827586 -0.884954320517241 -0.957759209655172 -0.978513379310345 -0.963390748793103 -0.958620861551724 -0.682708951724138 -1 -1 -0.306655995310345 0.372120698137931 -0.433230683965517 0.489854769482759 -0.0238159394810345 0.0340333739965517 -0.109971763401724 0.209848734741379 -0.21566818167931 0.25293391637931 -0.288777633568966 0.320809456034483 0.236571094982759 0.140368770689655 0.119717908474138
1 SITTING 0.278582015166667 -0.0148399475341667 -0.11140306485 -0.440829971333333 -0.0788267367683333 -0.586252806833333 -0.463240806833333 -0.0882479108316667 -0.577853991833333 -0.274067506 0.000394426711666667 -0.508430021333333 0.38525393 0.189391668683333 0.642790533333333 -0.328803392833333 -0.841171533333333 -0.8328646385 -0.91765634 -0.502868109 -0.26858671235 -0.590794151166667 0.388412857666667 0.29938842875 -0.0302487369803833 -0.335783448871667 0.366465623355 -0.186494542266667 0.09200847394 -0.246262982218333 0.249393319278833 -0.0130319358666667 0.096615848315 -0.183172564586667 0.159107717993333 -0.0801856593933333 0.05694856782 0.179301198476667 0.118243599566667 0.186199354856667 0.963999696833333 -0.0858540265666667 0.127764112666667 -0.983826494833333 -0.967963221 -0.962968112 -0.9843229285 -0.968789103666667 -0.9630891765 0.895020413666667 -0.1011688005 0.126423595983333 0.9775361255 -0.06725896585 0.12160283585 -0.490371864833333 0.901090164666667 -0.989580419166667 -0.969681669833333 -0.985545694333333 -0.971051002166667 -0.964872616 -1 -0.995704322666667 -0.386185734718333 -0.2807074687 0.363779659333333 -0.443177663333333 0.518746896833333 -0.227203435343333 0.26405477385 -0.354672656333333 0.463666807166667 -0.5241976965 0.56480733 -0.604741992166667 0.641068377666667 -0.0666911924833333 -0.2810648057 0.05645850869
1 STANDING 0.27784234625 -0.0172850317482679 -0.107741776464286 -0.294098534232143 0.0767484028053571 -0.45702143625 -0.324211424758929 0.02125245425 -0.417584377321429 -0.144377074553571 0.0736703901732143 -0.499221384642857 0.217721157857143 0.0633526584285714 0.5405972175 -0.175104002607143 -0.739167282678571 -0.773397337142857 -0.862056129107143 -0.366868936553571 -0.303186019535714 -0.358814040535714 0.409693295178571 0.307906791821429 0.167753319785714 -0.4720147675 0.411644820928571 -0.211060648671429 0.136457804244643 -0.292247916785714 0.247150477107143 0.101572074778571 -0.0261093426910714 -0.228261036373214 0.222978547132143 0.07601736478125 -0.294159251339286 0.107216142973214 -0.091306385975 0.382942762321429 0.972624959821429 -0.100440285303571 0.00247623628392857 -0.979348381428571 -0.961585474821429 -0.964580803928571 -0.979942638214286 -0.962108264107143 -0.966083310714286 0.905658394464286 -0.112925876375 0.002440916225 0.984596124464286 -0.08291376875 -0.00396968889285714 -0.697307596607143 0.923963573928571 -0.983869231071429 -0.998717880357143 -0.981050884821429 -0.963198642142857 -0.9701671375 -1 -0.99588990125 -0.735944566589286 -0.416754126964286 0.487807340178571 -0.555474586964286 0.619650626964286 -0.163068794346429 0.217573574171429 -0.331194661107143 0.464420638214286 -0.232965049057143 0.269562125982143 -0.304255558035714 0.33463641 0.156254978625 -0.132134900540714 0.0719275977798214
1 LAYING 0.283658868070175 -0.0168954189082456 -0.110303165877193 -0.296538717368421 0.164213884996491 -0.504324207192982 -0.364913547017544 0.147044978903509 -0.501267576140351 -0.0141933701210526 0.133092995308772 -0.447302828035088 0.0360363454 -0.00267426764912281 0.502277692105263 -0.187037280157895 -0.74849398368421 -0.735242110175439 -0.881317397192982 -0.484140010350877 -0.140555265577193 -0.509185894385965 0.385355548245614 0.375026136315789 0.105582270375439 -0.282499960947368 0.298892287894737 -0.140100444245614 0.113012875887719 -0.279175259263158 0.245289229 0.124496336539474 -0.148639598947368 0.0138356888263158 0.112242888637895 0.0492867781403509 -0.142271702615789 -0.212159444610526 -0.326302523157895 0.366354059473684 0.958067455087719 -0.214694852280702 0.0331888826842105 -0.977779896491228 -0.964248568070175 -0.957205025789474 -0.978222729649123 -0.965149806491228 -0.958107239298246 0.891815346140351 -0.224688233684211 0.0351134874824561 0.970355325614035 -0.194814752807018 0.0262017344438596 -0.404627822807018 0.885496414736842 -0.924444876666667 -0.997886071754386 -0.979351620877193 -0.96802075877193 -0.962087921578947 -0.99403942245614 -1 -0.344448727607018 -0.297995669438597 0.377696839649123 -0.453748392982456 0.526005833157895 -0.146767376175439 0.174090305064912 -0.259048365842105 0.363616478 -0.176298817819298 0.209515911901754 -0.241342301340351 0.269511144264912 0.325097299754386 -0.0265285940526316 0.0169139699122807
2 WALKING 0.255461689622641 -0.0239531492643396 -0.0973020020943396 -0.35470802509434 -0.00232026501698113 -0.0194792388471698 -0.402832782264151 0.00767689909056604 0.0359905006150943 -0.159448548560377 -0.102688458301887 -0.160509697286792 0.238182436509434 0.143961002516981 0.441553928867925 -0.0968125932377358 -0.788475894528302 -0.804660188867925 -0.565893159811321 -0.496224403584906 -0.192069977651132 0.0721915195018868 0.431169538301887 0.327277994150943 -0.00647454334471698 -0.524400431509434 0.438563589433962 -0.23977634310566 0.134340677858491 -0.327397149962264 0.226589616607547 0.0400244128867925 0.0367810864660377 -0.468668596037736 0.307595388783019 -0.168581579377358 0.0137816554962264 -0.387362043962264 -0.17700807654717 0.161628109571698 0.89335109754717 -0.362153364339623 -0.075402939754717 -0.956367027924528 -0.952849233207547 -0.912379410377358 -0.958245005283019 -0.953844427358491 -0.915071633773585 0.834566491886792 -0.365260562075472 -0.0611896648566038 0.89811253754717 -0.343993198679245 -0.0944078061132076 0.0141336506698113 0.719342348490566 -0.769715006037736 -0.985300559433962 -0.961927118490566 -0.957150931320755 -0.924294370943396 -0.287523804962264 -1 -1 -0.643691341509434 0.686782270754717 -0.729133136981132 0.770799058113208 -0.496928408830189 0.520389702660377 -0.578771466603774 0.649069533207547 -0.687026630377358 0.700655634528302 -0.713323309433962 0.72201865754717 0.599383946622641 -0.37282872745283 -0.178003749358491
2 WALKING_UPSTAIRS 0.247164790395833 -0.0214121132045833 -0.152513899520833 -0.304376406458333 0.108027279889583 -0.112121021220833 -0.361106808541667 0.113198669327083 -0.151313527122917 0.0556178940416667 -0.0524464521258333 -0.340458121458333 0.247447674729167 0.001831594125 0.166133309816667 -0.0909271902708333 -0.752619539583333 -0.758782737708333 -0.616762953125 -0.48605325875 -0.0947931754416667 -0.284847268104167 0.236298760916667 0.295978256525 0.109249252012708 -0.21012421055625 0.221575719835417 -0.273792543833333 0.300599486708333 -0.153766258147917 0.150632529364583 0.0156004196927083 0.0379678809770833 -0.200100692 0.102494700289583 -0.0367731205791667 0.0650068551875 -0.431575933541667 -0.411630790895833 0.18153981034375 0.790717418541667 -0.416214890416667 -0.195888238891667 -0.934407739791667 -0.92376745375 -0.878004056875 -0.935984259583333 -0.925754092291667 -0.882496886875 0.739968479166667 -0.409155973541667 -0.16941086053125 0.788772288958333 -0.406181630208333 -0.219679083270833 0.3688921109375 0.476343300416667 -0.683439848333333 -0.792849503958333 -0.940261295208333 -0.930197245625 -0.894181480416667 -0.1398641343125 -1 -0.587532171214583 -0.610237150895833 0.65536111625 -0.699851586458333 0.743758584166667 -0.425532923995833 0.422930414 -0.458831097541667 0.509350159583333 -0.651473055625 0.680036803958333 -0.7079166 0.732072705 0.358907810729167 0.203143954291667 -0.169191851458333
2 WALKING_DOWNSTAIRS 0.260819873067797 -0.0324109410555932 -0.110064863437288 -0.313123437627119 0.0116280813372881 -0.369754604067797 -0.359018922542373 -0.0044843460559322 -0.348964195762712 -0.153548192508475 -0.123984563101695 -0.382521727457627 0.223084863681356 0.0365125157364407 0.524622058305085 -0.181326532774576 -0.757836303220339 -0.795467227118644 -0.813607422033898 -0.450192095423729 -0.248724703169492 -0.339921978864407 0.520150458983051 0.303195794389831 0.0604194304237288 -0.449480757288136 0.348210933242373 -0.258840026801695 0.267598504237288 -0.354524142084746 0.329016225991525 -0.0863562833930508 0.0733191062288136 -0.380000670745763 0.292781239355932 -0.13012249889661 -0.0694602739954237 -0.556772286440678 -0.296964761728814 0.313487331542373 0.883533436101695 -0.382851153728814 -0.162943955254237 -0.944040819322034 -0.909825953898305 -0.909469675084746 -0.944901780169492 -0.910029733559322 -0.911166173898305 0.829762972711864 -0.372815949152542 -0.149215362423729 0.886007230847458 -0.374559464576271 -0.182930901355932 0.285362979830508 0.69481756559322 -0.741178665254237 -0.941510610847458 -0.947078746101695 -0.911539576101695 -0.917983669322034 -0.225092805138983 -1 -1 -0.678743724237288 0.725601182542373 -0.771835715932203 0.817500914237288 -0.469041779830508 0.487067986440678 -0.542616946101695 0.611976713389831 -0.648692865254237 0.667940969661017 -0.686510930508475 0.701417382711864 0.708661599152542 0.303960852481356 0.0918830017118644
2 SITTING 0.270876696730769 -0.0319804295729615 -0.114219455519231 -0.204933042903846 -0.0666899105180769 -0.372137777692308 -0.308203036923077 -0.104576853559423 -0.352160001153846 0.0551893966615385 -0.0905273170096154 -0.367490069615385 0.138761992942308 0.0745232387725 0.588500282307692 -0.179603958538462 -0.679177930576923 -0.826166131923077 -0.815954715769231 -0.495471711153846 -0.351549761923077 -0.383871065461538 0.416566138461538 0.267408959442308 -0.0783649486923077 -0.493146022115385 0.377813806576923 -0.251457354457692 0.252739685230769 -0.218490967957692 0.216868305365385 -0.0486459484057692 0.156000014905769 -0.237327251096154 0.197168028423077 -0.215672506365385 0.103789892075 -0.302008546961538 0.169509983115385 -0.0935618013884615 0.946264314423077 -0.232944304615385 0.0841675382884615 -0.958495235576923 -0.923376019038462 -0.919619453269231 -0.959893172884615 -0.923275190769231 -0.923221114038462 0.886667880576923 -0.230941709423077 0.0963867459230769 0.949911080192308 -0.2232467125 0.0686949380769231 -0.241637106923077 0.854685022307692 -0.909020101538462 -0.986972757692308 -0.963582833269231 -0.924280726538461 -0.932853831730769 -0.728934317884615 -1 -0.0620288532365385 -0.656054392692308 0.700141388269231 -0.743318080961539 0.785633910576923 -0.413504835557692 0.431236595769231 -0.489989875 0.563743668269231 -0.661860456923077 0.6780097275 -0.693342515192308 0.704873921538462 0.135996668153846 -0.441064849384615 0.142926607240385
